inventoryID,entityID,entityType,id,inherentRiskLevel,inherentRiskLevelID,inherentRiskScore,residualRiskLevel,residualRiskLevelID,residualRiskScore,targetRiskLevel,targetRiskLevelID,targetRiskScore,inventoryType,inventoryTypeID,inventoryName,inventoryNumber,inventoryURL,orgID,orgName,parentOrgID
edit2_19032026 user_19032026,1a05180b-9ab8-47a2-87c8-da8c1db908b5,,0,a792362a-d3b2-46a2-871b-261c29528694,None,None,None,0.0,0,0,Automated_Assessment_01_4739_19032026,137,1,0,0.0,None,Under Review,None,None,None,0.0,ba9836c5-46c7-46b8-8599-1531bd3ff0ab,Template_4739_19032026,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:35:53.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:35:54.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T05:46:16.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.139+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/a792362a-d3b2-46a2-871b-261c29528694,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
OneTrust Automation,79f09a0f-fbd7-4439-9e1e-d48abe62c98e,assessment v2 pdf desc,0,f5ce06bf-f3d6-4303-b7f9-9293077583b0,None,None,None,0.0,0,0,assessment_19032026,125,0,0,0.0,None,Under Review,None,None,None,0.0,b0697b9d-3c9b-401a-94ed-98e5135daba3,Template_19032026,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:33:51.000+00:00,2026-03-19,2026,March,03,Quarter 1,2026-03-20T09:33:50.000+00:00,2026-03-20,2026,March,03,Quarter 1,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:34:04.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T05:46:14.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.249+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/f5ce06bf-f3d6-4303-b7f9-9293077583b0,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
OneTrust Automation,79f09a0f-fbd7-4439-9e1e-d48abe62c98e,,0,37134967-acde-4c32-938a-33d2f5a0b3bf,None,None,None,0.0,0,0,automation_project_65188_19032026,124,0,0,0.0,None,Under Review,None,None,None,0.0,b529f2d5-ac3e-496b-9ba2-6d35ef949d34,Template_65188_19032026,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:33:30.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:34:49.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T05:46:15.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.147+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/37134967-acde-4c32-938a-33d2f5a0b3bf,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
OneTrust Automation,79f09a0f-fbd7-4439-9e1e-d48abe62c98e,,0,cb1ca3bc-386b-4d97-aa3b-e06fe40253d9,None,None,None,0.0,0,0,automation_project_39954_2054789,211,0,0,0.0,None,Under Review,None,None,None,0.0,25fc3358-6611-46ca-9348-29f92fda38c8,automation_template_39954_2054789,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:47:11.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:47:12.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T05:46:17.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.382+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/cb1ca3bc-386b-4d97-aa3b-e06fe40253d9,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
edit2_19032026 user_19032026,1a05180b-9ab8-47a2-87c8-da8c1db908b5,,0,f7447b7d-6528-423a-8393-11dbd1357aba,None,None,None,0.0,0,0,Automated_Assessment_02_4739_19032026,141,1,0,0.0,None,Under Review,None,None,None,0.0,ba9836c5-46c7-46b8-8599-1531bd3ff0ab,Template_4739_19032026,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:35:59.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:36:01.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T05:46:16.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.148+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/f7447b7d-6528-423a-8393-11dbd1357aba,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
SubOrg_1_User_1_175124 ProjectOwner,d07a77af-c1b2-4ef1-ba6c-1675ba360ffd,,0,66f61fb1-3817-4683-b126-5ec4c0d4adbd,None,None,None,0.0,0,0,Risk_Adding_Assessment_175124,126,0,0,0.0,None,Under Review,None,None,None,0.0,b3d8ceb8-c7a5-4209-b8f8-75a62de1bee3,Template_175124,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:34:05.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:34:07.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T05:46:14.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.131+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/66f61fb1-3817-4683-b126-5ec4c0d4adbd,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
OneTrust Automation,79f09a0f-fbd7-4439-9e1e-d48abe62c98e,,0,fa7c3ef0-af22-4698-b7c0-055a4ba48965,None,None,None,0.0,0,0,automation_assessment_19032026,219,0,0,0.0,None,Under Review,None,None,None,0.0,adc8b666-7ff0-4ede-bc0f-8962e57d3f7d,automation_template_19032026,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:49:56.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:50:10.000+00:00,2026-03-19,2026,March,03,Quarter 1,ITRM,1,,,2026-03-24T05:46:17.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.387+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/fa7c3ef0-af22-4698-b7c0-055a4ba48965,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
OneTrust Automation,79f09a0f-fbd7-4439-9e1e-d48abe62c98e,,0,8d84809b-3689-47e2-a4c2-2340de7ffb2b,None,None,None,0.0,0,0,Automated_Assessment_1024940,179,0,0,0.0,None,Under Review,None,None,None,0.0,fc4d7af4-00cf-4d56-b886-fc2b139aba34,Template_1024940,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:43:38.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:43:39.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T05:46:17.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T12:46:39.353+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/8d84809b-3689-47e2-a4c2-2340de7ffb2b,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
OneTrust Automation,79f09a0f-fbd7-4439-9e1e-d48abe62c98e,,0,50732cba-7cff-4cbc-96ec-c92dc75d548c,None,None,None,0.0,0,0,Risk_Assessment_5841_19032026,44,0,0,0.0,None,Under Review,None,None,None,0.0,a219db50-8507-46e5-910a-a772577fd563,edited_Template_PIA_5841_19032026,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:18:52.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:21:17.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,2,,,2026-03-24T06:29:40.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T13:29:57.601+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/50732cba-7cff-4cbc-96ec-c92dc75d548c,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
OneTrust Automation,79f09a0f-fbd7-4439-9e1e-d48abe62c98e,,0,9c5e4443-ad20-4353-b872-efa192dd78f7,None,None,None,0.0,0,0,Automated_Assessment_4741_19032026,91,0,0,0.0,None,Under Review,None,None,None,0.0,6532e177-76c6-400c-b4ec-70883700adf9,Template_4741_19032026,0,0,,,,,,,Under Review,UnderReview,UnderReview,2026-03-19T09:27:49.000+00:00,2026-03-19,2026,March,03,Quarter 1,,,,,,,OneTrust Automation,,,,,Active,Active,Active,2026-03-19T09:27:51.000+00:00,2026-03-19,2026,March,03,Quarter 1,PIA,1,,,2026-03-24T06:29:38.000+00:00,2026-03-24,2026,March,03,Quarter 1,2026-03-24T13:29:57.577+00:00,2026-03-24,2026,March,03,Quarter 1,ASSESSMENT,0,Default Assessment Workflow,67fe8d1a-d3a8-45f2-919f-7793c52dccb7,DefaultAssessmentWorkflow,America/Mazatlan,,Achieved,https://Assessment/Assessment/9c5e4443-ad20-4353-b872-efa192dd78f7,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11,b99df4a4-2bf5-4c08-9483-bd636470bc11,125
