inventoryID,entityID,entityType,id,inherentRiskLevel,inherentRiskLevelID,inherentRiskScore,residualRiskLevel,residualRiskLevelID,residualRiskScore,targetRiskLevel,targetRiskLevelID,targetRiskScore,inventoryType,inventoryTypeID,inventoryName,inventoryNumber,inventoryURL,orgID,orgName,parentOrgID
INVENTORY,PROCESSING-ACTIVITIES
INVENTORY,ASSETS
INVENTORY,ENTITIES
ENGAGEMENT,ENGAGEMENT
CONTROL_IMPLEMENTATION,CONTROL
ASSESSMENT,ASSESSMENT
ISSUE,ISSUE
INVENTORY,VENDORS
PROJECTS,PROJECTS
AI_GOVERNANCE,PROJECTS
AI_GOVERNANCE,DATASETS
RISK,RISK
AI_GOVERNANCE,AISYSTEMS
AI_GOVERNANCE,AIAGENTS
EPM,POLICIES
EPM,STANDARDS
EPM,PROCEDURES
COMPLIANCE,EVIDENCE
AUDIT,AUDIT
WORKPAPER,WORKPAPER
AI_GOVERNANCE,MODELS
