inventoryID,entityID,entityType,id,inherentRiskLevel,inherentRiskLevelID,inherentRiskScore,residualRiskLevel,residualRiskLevelID,residualRiskScore,targetRiskLevel,targetRiskLevelID,targetRiskScore,inventoryType,inventoryTypeID,inventoryName,inventoryNumber,inventoryURL,orgID,orgName,parentOrgID
0ec505f9-ba70-4513-9e29-0768ee6adfac,0ec505f9-ba70-4513-9e29-0768ee6adfac,INVENTORY,600ec505f9-ba70-4513-9e29-0768ee6adfac,,,,,,,,,,Assets,20,asset_8896235,1881,https://Inventory/assets/0ec505f9-ba70-4513-9e29-0768ee6adfac,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
6f731c31-e96e-4a15-8438-2268dc7af4fe,6f731c31-e96e-4a15-8438-2268dc7af4fe,INVENTORY,606f731c31-e96e-4a15-8438-2268dc7af4fe,,,,,,,,,,Assets,20,asset_5089207,1000,https://Inventory/assets/6f731c31-e96e-4a15-8438-2268dc7af4fe,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
b7d3f54e-9f06-472f-94c6-5c86bc6bfaa6,b7d3f54e-9f06-472f-94c6-5c86bc6bfaa6,INVENTORY,60b7d3f54e-9f06-472f-94c6-5c86bc6bfaa6,,,,,,,,,,Assets,20,cosmos_trigger_8417487,1,https://Inventory/assets/b7d3f54e-9f06-472f-94c6-5c86bc6bfaa6,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
3ee20012-eaa2-4275-9405-18c9fde53505,3ee20012-eaa2-4275-9405-18c9fde53505,INVENTORY,603ee20012-eaa2-4275-9405-18c9fde53505,,,,,,,,,,Assets,20,asset_558950,3027,https://Inventory/assets/3ee20012-eaa2-4275-9405-18c9fde53505,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
5e73105a-79ad-45aa-b456-c887ed3db9ee,5e73105a-79ad-45aa-b456-c887ed3db9ee,INVENTORY,605e73105a-79ad-45aa-b456-c887ed3db9ee,Zero,Zero,0.0,Zero,Zero,0.0,,,,Assets,20,asset_2812240_rep,3349,https://Inventory/assets/5e73105a-79ad-45aa-b456-c887ed3db9ee,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
dea60936-a01d-4be2-9542-301368cd5429,dea60936-a01d-4be2-9542-301368cd5429,INVENTORY,60dea60936-a01d-4be2-9542-301368cd5429,,,,,,,,,,Assets,20,asset_5238597,3348,https://Inventory/assets/dea60936-a01d-4be2-9542-301368cd5429,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
33d83d0f-4d89-4187-bb77-679e22d794e4,33d83d0f-4d89-4187-bb77-679e22d794e4,INVENTORY,6033d83d0f-4d89-4187-bb77-679e22d794e4,,,,,,,,,,Processing Activities,30,pa_3215_master_2122230,1058,https://Inventory/processing-activities/33d83d0f-4d89-4187-bb77-679e22d794e4,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
6c0a93a2-2982-42e3-bf8a-1c3cf626cbe6,6c0a93a2-2982-42e3-bf8a-1c3cf626cbe6,INVENTORY,606c0a93a2-2982-42e3-bf8a-1c3cf626cbe6,,,,,,,,,,Processing Activities,30,pa_3215_master_4899324,435,https://Inventory/processing-activities/6c0a93a2-2982-42e3-bf8a-1c3cf626cbe6,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
7ef565e8-fafe-44ab-87c1-89e347de6c67,7ef565e8-fafe-44ab-87c1-89e347de6c67,INVENTORY,607ef565e8-fafe-44ab-87c1-89e347de6c67,,,,,,,,,,Processing Activities,30,pa_3215_master_4898863,1706,https://Inventory/processing-activities/7ef565e8-fafe-44ab-87c1-89e347de6c67,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
5eb98ffa-b2b2-4076-b9c4-4906c44fb7fd,5eb98ffa-b2b2-4076-b9c4-4906c44fb7fd,INVENTORY,605eb98ffa-b2b2-4076-b9c4-4906c44fb7fd,High,High,3.0,High,High,3.0,,,,Assets,20,asset_3029572,3352,https://Inventory/assets/5eb98ffa-b2b2-4076-b9c4-4906c44fb7fd,b99df4a4-2bf5-4c08-9483-bd636470bc11,OTAuto02,b99df4a4-2bf5-4c08-9483-bd636470bc11
