schema,table,column_name,data_type,row_count,ndv,null_count,non_null_count,min_val,max_val,error
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskAttributeID,string,1350650,2264,0.0,1350650,001d0366db8138bc0f08a0681f7ebb9f,fff53a489b2245c38ccb6ca1d1d1896f,
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskID,string,1350650,1078,0.0,1350650,0019b168-aa50-45eb-8ef6-99ba53da1d60,ffcd43e0-1303-4dd4-8a4c-f977a6560ac0,
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskName,string,1350650,796,0.0,1350650,101,ww_root_risk_summary_884094,
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskNumber,bigint,1350650,1078,0.0,1350650,1,1498,
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskAttributeName,string,1350650,2264,0.0,1350650,001d0366db8138bc0f08a0681f7ebb9f,fff53a489b2245c38ccb6ca1d1d1896f,
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskAttributeValue,string,1350650,11,0.0,1350650,0,Zero,
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskAttributeValueNumeric,decimal,1350650,,,,,,"min/max with CAST failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-9-20260727.150507.724: 	For input string: ""Zero""""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""Q348855-9-20260727.150507.724: \tFor input string: \""Zero\"""", grpc_status:13, created_time:""2026-07-27T20:35:08.897432+05:30""}""
>; raw MIN/MAX also failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-10-20260727.150509.052: 	For input string: ""Yes""""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-07-27T20:35:10.157792+05:30"", grpc_status:13, grpc_message:""Q348855-10-20260727.150509.052: \tFor input string: \""Yes\""""}""
>; fallback failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-11-20260727.150510.304: 	For input string: ""Yes""""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""Q348855-11-20260727.150510.304: \tFor input string: \""Yes\"""", grpc_status:13, created_time:""2026-07-27T20:35:11.387995+05:30""}""
>"
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskAttributeValueLabel,string,1350650,2,568225.0,782425,Yes,Zero,
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskAttributeValueDate,date,1350650,,,,,,"min/max with CAST failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-13-20260727.150513.177: 	Datetime pattern did not match: 0""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-07-27T20:35:14.268416+05:30"", grpc_status:13, grpc_message:""Q348855-13-20260727.150513.177: \tDatetime pattern did not match: 0""}""
>; raw MIN/MAX also failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-14-20260727.150514.414: 	Datetime pattern did not match: 0""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-07-27T20:35:15.479402+05:30"", grpc_status:13, grpc_message:""Q348855-14-20260727.150514.414: \tDatetime pattern did not match: 0""}""
>; fallback failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-15-20260727.150515.630: 	Datetime pattern did not match: 0""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""Q348855-15-20260727.150515.630: \tDatetime pattern did not match: 0"", grpc_status:13, created_time:""2026-07-27T20:35:16.70648+05:30""}""
>"
auto_qa_e40yx52dkbjpcqazimno9yvh4k,cmb_v_riskattributevalue_v3,riskAttributeValueDateYear,int,1350650,,,,,,"min/max with CAST failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-16-20260727.150516.852: 	Datetime pattern did not match: Yes""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""Q348855-16-20260727.150516.852: \tDatetime pattern did not match: Yes"", grpc_status:13, created_time:""2026-07-27T20:35:17.943909+05:30""}""
>; raw MIN/MAX also failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-17-20260727.150518.093: 	Datetime pattern did not match: 0""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-07-27T20:35:19.159661+05:30"", grpc_status:13, grpc_message:""Q348855-17-20260727.150518.093: \tDatetime pattern did not match: 0""}""
>; fallback failed: <_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""Q348855-18-20260727.150519.305: 	Datetime pattern did not match: 0""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-07-27T20:35:20.358413+05:30"", grpc_status:13, grpc_message:""Q348855-18-20260727.150519.305: \tDatetime pattern did not match: 0""}""
>"
