entityTypeReference,entityId,entityNumber,entityName,stageId,workflowId,workflow,stage,createdBy,updatedBy,createdDateTime,createdDate,createdYear,createdMonth,createdMonthNumber,createdQuarter,updatedDateTime,updatedDate,updatedYear,updatedMonth,updatedMonthNumber,updatedQuarter,timeZoneID,orgId,orgName,parentOrgID,createdByUserEmail
AI_GOVERNANCE,PROJECTS
AI_GOVERNANCE,AISYSTEMS
AI_GOVERNANCE,MODELS
AI_GOVERNANCE,DATASETS
AI_GOVERNANCE,VENDORS
ASSESSMENT,ISSUE
ASSESSMENT,ASSESSMENT
AUDIT,AUDIT
AUDIT,FINDING
INVENTORY,MODELS
INVENTORY,VENDORS
ISSUE,INITIATIVE
ISSUE,RISK
ISSUE,ASSESSMENT
ISSUE,ISSUE
PROJECTS,MODELS
PROJECTS,PROJECTS
RISK,RISK
RISK,ISSUE
